Tool,File,Line,Severity,Rule,Message
PMD(Apex),./force-app/main/default/classes/AppointmentController.cls,17,3,CyclomaticComplexity,The class 'AppointmentController' has a total cyclomatic complexity of 50 (highest 12).
PMD(Apex),./force-app/main/default/classes/AppointmentController.cls,44,3,EmptyStatementBlock,Avoid empty block statements.
PMD(Apex),./force-app/main/default/classes/AppointmentController.cls,57,3,ExcessiveParameterList,Avoid long parameter lists.
PMD(Apex),./force-app/main/default/classes/AppointmentController.cls,57,3,CyclomaticComplexity,"The method 'updateAppointmentStatus(Id, String, String, Date, String)' has a cyclomatic complexity of 12."
PMD(Apex),./force-app/main/default/classes/AppointmentController.cls,67,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AppointmentController.cls,114,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AppointmentController.cls,135,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AppointmentController.cls,150,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AppointmentController.cls,163,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AppointmentController.cls,176,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AppointmentController.cls,222,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AppointmentController.cls,232,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AppointmentController.cls,242,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AppointmentController.cls,252,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AppointmentController.cls,279,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AppointmentController.cls,302,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AppointmentControllerTest.cls,7,5,UnusedLocalVariable,Variable 'u' defined but not used
PMD(Apex),./force-app/main/default/classes/AppointmentControllerTest.cls,37,3,ApexUnitTestClassShouldHaveRunAs,Apex unit test classes should have at least one System.runAs() call
PMD(Apex),./force-app/main/default/classes/AppointmentControllerTest.cls,59,3,ApexUnitTestClassShouldHaveRunAs,Apex unit test classes should have at least one System.runAs() call
PMD(Apex),./force-app/main/default/classes/AppointmentControllerTest.cls,87,3,ApexUnitTestClassShouldHaveRunAs,Apex unit test classes should have at least one System.runAs() call
PMD(Apex),./force-app/main/default/classes/AppointmentControllerTest.cls,120,3,ApexUnitTestClassShouldHaveRunAs,Apex unit test classes should have at least one System.runAs() call
PMD(Apex),./force-app/main/default/classes/AppointmentControllerTest.cls,132,3,ApexUnitTestClassShouldHaveRunAs,Apex unit test classes should have at least one System.runAs() call
PMD(Apex),./force-app/main/default/classes/AppointmentControllerTest.cls,159,3,ApexUnitTestClassShouldHaveRunAs,Apex unit test classes should have at least one System.runAs() call
PMD(Apex),./force-app/main/default/classes/AppointmentControllerTest.cls,189,3,ApexUnitTestClassShouldHaveRunAs,Apex unit test classes should have at least one System.runAs() call
PMD(Apex),./force-app/main/default/classes/AppointmentControllerTest.cls,227,3,ApexUnitTestClassShouldHaveRunAs,Apex unit test classes should have at least one System.runAs() call
PMD(Apex),./force-app/main/default/classes/AppointmentControllerTest.cls,255,3,ApexUnitTestClassShouldHaveRunAs,Apex unit test classes should have at least one System.runAs() call
PMD(Apex),./force-app/main/default/classes/AppointmentControllerTest.cls,283,3,ApexUnitTestClassShouldHaveRunAs,Apex unit test classes should have at least one System.runAs() call
PMD(Apex),./force-app/main/default/classes/AppointmentControllerToOpp.cls,26,3,StdCyclomaticComplexity,The class 'AppointmentControllerToOpp' has a Standard Cyclomatic Complexity of 4 (Highest = 12).
PMD(Apex),./force-app/main/default/classes/AppointmentControllerToOpp.cls,26,3,CyclomaticComplexity,The class 'AppointmentControllerToOpp' has a total cyclomatic complexity of 63 (highest 17).
PMD(Apex),./force-app/main/default/classes/AppointmentControllerToOpp.cls,38,3,ExcessiveParameterList,Avoid long parameter lists.
PMD(Apex),./force-app/main/default/classes/AppointmentControllerToOpp.cls,38,3,CyclomaticComplexity,"The method 'updateAppointmentStatus(Id, String, String, Date, String)' has a cyclomatic complexity of 17."
PMD(Apex),./force-app/main/default/classes/AppointmentControllerToOpp.cls,52,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AppointmentControllerToOpp.cls,92,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AppointmentControllerToOpp.cls,98,3,CyclomaticComplexity,"The method 'getAvailableTimeSlots(Date, Id)' has a cyclomatic complexity of 10."
PMD(Apex),./force-app/main/default/classes/AppointmentControllerToOpp.cls,106,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AppointmentControllerToOpp.cls,136,3,ExcessiveParameterList,Avoid long parameter lists.
PMD(Apex),./force-app/main/default/classes/AppointmentControllerToOpp.cls,152,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AppointmentControllerToOpp.cls,166,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AppointmentControllerToOpp.cls,195,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
